structure_name,UFF,Mg_CO,DFT from UFF,DFT from Mg_CO,Mg_CO_error,UFF_error,comment,check,Usage,structure_name,,
Ca-H2DHTP(Ca),-42.089480525806,-35.646819114427,-40.206650673508,-40.009778579369,4.362959464942,-1.882829852298,bad,Charges -2,correct structure but wrong binding energies,Ca-H2DHTP(Ca),OSAWEL,loss 2H
CaBTB(Ca),-42.464471198473,-37.757357631066,-42.405611281709,-41.017972386611,3.260614755545,-0.0588599167639998,bad,good but with water,"need to change, delete water",CaBTB(Ca),NOHSUA,delete water
RUFMUA01(Ca),-37.895293934009,-34.148913360936,-33.966365893791,-34.215107243795,0.0661938828590039,-3.928928040218,good,Charges correct,yes,RUFMUA01(Ca),,
KIXXOG(Ca),-58.225960061332,-51.444465949015,-51.018867803513,-51.697461155989,0.252995206973999,-7.20709225781901,good,Charges -2 but with two bezene,yes,KIXXOG(Ca),KIXXOG,
ECEDEY(Ca),-41.053877273475,-36.313502040778,-41.955844310233,-41.194301461593,4.880799420815,0.901967036757995,bad,"Charges is good but open metal sites, Ca four coordinate",,ECEDEY(Ca),,
YOQYEK(Ca),-59.921738534928,-54.985590477399,,,,,,,,YOQYEK(Ca),,
KIXXOG01(Ca),-53.510362523838,-46.97015177186,-42.461188307774,-42.352654935779,-4.617496836081,-11.049174216064,good,Charges is not correct and open metal site ,,KIXXOG01(Ca),,
Ca-BDC(Ca),-36.958153365999,-33.763381735193,-39.057918175389,-37.438627823225,3.675246088032,2.09976480939,weired,Charges is not correct and open metal site ,,Ca-BDC(Ca),,
TECTUS(Ca),-30.597579342188,-25.88060244993,-34.681003948427,-34.88015456132,8.99955211139,4.083424606239,bad,Charges is not correct and open metal site ,,TECTUS(Ca),,
RAJFAL(Ca),-24.413146268347,-22.274362071736,-29.552474609121,-30.674269243367,8.399907171631,5.139328340774,weired,Charges is not correct and open metal site ,,RAJFAL(Ca),,
POMSOB(Ca),-44.705251147312,-40.581827919815,-47.619410688111,-47.676258651136,7.094430731321,2.91415954079901,bad,open metal sites,,POMSOB(Ca),,
SBMOF-2(Ca),-42.341974515908,-35.408985322483,-31.620103787163,-35.174971357831,-0.234013964652,-10.721870728745,good,correct,yes,SBMOF-2(Ca),,
TONMAM(Ba),-44.270099698964,-40.156167717694,,,,,,,,TONMAM(Ba),,
UPC-17(Ba),-51.287856258486,-46.302205411264,-44.31306410312,-44.392558894433,-1.909646516831,-6.974792155366,good,hard to justify,yes ,UPC-17(Ba),,
HOWROC(Ba),-63.126622441877,-59.475748052371,-50.04882307166,-50.192006667194,-9.283741385177,-13.077799370217,bad,with u2-h2o linker,,HOWROC(Ba),,
NOCLOH01(Sr),-38.3593257436,-33.960293161724,-37.2199353759,-37.213010849232,3.252717687508,-1.1393903677,bad,Charges is not correct and open metal site ,,NOCLOH01(Sr),,
NOCLUN(Sr),-39.787598244673,-34.737925434232,-34.479210853212,-35.182026138711,0.444100704479006,-5.308387391461,good,less space for open metal sites and charges is also not good,yes,NOCLUN(Sr),,
KIYMAI01(Sr),-55.31725988027,-48.789489319834,-44.125528860956,-44.116905386441,-4.672583933393,-11.191731019314,good,charges problems and open metal sites,,KIYMAI01(Sr),,
SC-BTC(Sr),-53.149998075844,-49.540478963987,-46.938852311112,-46.938557615006,-2.601921348981,-6.211145764732,good,correct,yes,SC-BTC(Sr),,
ECEDAU(Sr),-37.880240284645,-30.836289129609,-33.072714842721,-33.203777177535,2.367488047926,-4.807525441924,good,correct and without open metal sites,yes,ECEDAU(Sr),,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,"(C25,)",,,,,,,,,,
